source,station_code,station_name,lat,lon,height_m,start_time,duration_s,sampling_rate_hz,intensity,acc_NS,acc_EW,acc_UD,acc_H,acc_total,vel_NS,vel_EW,vel_UD,vel_H,vel_total,disp_NS,disp_EW,disp_UD,disp_H,disp_total
JMA,41214,米沢市駅前,37.9125,140.1211,,2025-12-08T23:16:00.000,300.0,100,2,5.572,-5.778,-2.783,6.442,6.497,1.185,-1.105,-0.541,1.295,1.302,0.497,0.594,-0.174,0.714,0.718
JMA,41215,郡山市朝日,37.4009,140.36,,2025-12-08T23:16:00.000,300.0,100,3,13.0,-17.061,5.049,17.337,17.412,1.57,1.915,0.583,2.041,2.067,0.367,1.039,-0.761,1.054,1.3
JMA,41216,南相馬市原町区三島町,37.6413,140.9558,,2025-12-08T23:15:50.000,300.0,100,3,12.067,11.202,5.147,13.465,13.687,1.58,1.656,-0.765,1.75,1.759,-0.696,-0.839,0.319,0.84,0.841
JMA,41301,坂東市岩井,36.0407,139.8832,,2025-12-08T23:16:30.000,360.0,100,2,-7.467,-5.472,1.907,7.526,7.528,1.287,-1.159,-0.634,1.437,1.472,-2.296,-1.29,2.419,2.456,3.447
JMA,41302,土浦市常名,36.1041,140.1894,,2025-12-08T23:16:10.000,420.0,100,3,7.941,7.651,-4.685,10.246,10.263,1.547,-1.383,-0.944,1.886,1.887,0.64,0.84,1.096,0.86,1.35
JMA,41303,日光市瀬川,36.7346,139.6882,,2025-12-08T23:16:40.000,120.0,100,1,-2.519,-2.656,-1.059,2.693,2.693,0.307,0.526,0.218,0.526,0.526,6.434,10.32,5.9,12.161,13.516
JMA,41304,栃木市旭町,36.3772,139.7363,,2025-12-08T23:17:20.000,120.0,100,2,3.543,2.922,1.472,4.106,4.107,-0.452,-0.606,0.268,0.619,0.62,7.414,-4.599,7.673,8.721,11.616
JMA,41305,沼田市西倉内町,36.6461,139.0428,,2025-12-08T23:16:20.000,240.0,100,2,2.662,-2.452,-0.944,2.749,2.757,0.618,0.706,0.202,0.794,0.807,-0.329,0.539,0.193,0.596,0.607
JMA,41306,富岡市七日市,36.2639,138.8803,,2025-12-08T23:17:50.000,120.0,100,1,1.397,-1.741,0.839,2.046,2.059,-0.693,0.714,-0.261,0.981,0.982,4.57,6.124,-0.533,7.641,7.647
JMA,41307,桐生市錦町,36.4042,139.3315,,2025-12-08T23:17:20.000,120.0,100,2,-2.614,3.704,-1.735,4.205,4.205,-0.385,-0.396,-0.183,0.482,0.487,-3.513,2.412,0.737,4.259,4.313
